position,token_id,token_char,token_loss,gradcam_gini,gradcam_peak,gradcam_coverage,gradcam_entropy,attention_gini,attention_peak,attention_coverage,attention_entropy,sample_id,image_cer
0,0,<s>,1.5497195136049413e-06,0.5537989584941896,1.0,0.22395833333333334,0.9121954886498388,0.4576665028234361,1.0,0.036458333333333336,0.9456697003879793,0,0.17647058823529413
1,0,<s>,28.24202537536621,0.6207545800944232,1.0,0.21006944444444445,0.8897215047617831,0.42632062017037287,1.0,0.109375,0.9446840835735865,0,0.17647058823529413
2,10800,cont,35.65167236328125,0.7166350048477723,1.0,0.09027777777777778,0.8449069230943634,0.39825715954247887,1.0,0.03298611111111111,0.9517439447347409,0,0.17647058823529413
3,271,ar,19.425899505615234,0.6547549291458268,1.0,0.11284722222222222,0.8738386551467463,0.3359827999669305,1.0,0.010416666666666666,0.9669991744480264,0,0.17647058823529413
4,295, n,21.887866973876953,0.6095864888693876,1.0,0.11284722222222222,0.8933476863982948,0.399482158480577,1.0,0.07291666666666667,0.9544821859986575,0,0.17647058823529413
5,1168,ol,18.723125457763672,0.7289390123335127,1.0,0.13020833333333334,0.8365343565733182,0.5442996181968696,1.0,0.026041666666666668,0.9031163808623945,0,0.17647058823529413
6,181, p,25.542835235595703,0.7551741542412593,1.0,0.10416666666666667,0.8202755051715759,0.5838581847727813,1.0,0.06944444444444445,0.8896899212118624,0,0.17647058823529413
7,33594,orea,31.74873161315918,0.7383491602140688,1.0,0.07291666666666667,0.8312991393579441,0.29449389641743196,1.0,0.017361111111111112,0.9725166180643554,0,0.17647058823529413
8,4,.,22.104816436767578,0.5221421275887759,1.0,0.1909722222222222,0.9228194146319837,0.4892673974620205,1.0,0.036458333333333336,0.9272523646671846,0,0.17647058823529413
9,2,</s>,0.002157623879611492,0.6232864258957449,1.0,0.057291666666666664,0.88263156045688,0.4654749976071626,1.0,0.052083333333333336,0.9353887672567557,0,0.17647058823529413
0,0,<s>,2.3841855067985307e-07,0.6375986151024717,1.0,0.1597222222222222,0.8778033284156632,0.4870874002343435,1.0,0.06770833333333333,0.9380660920300887,1,0.15625
1,0,<s>,24.95721435546875,0.7503220403504651,1.0,0.034722222222222224,0.8252314967983392,0.46945268642336146,1.0,0.03819444444444445,0.940286918225588,1,0.15625
2,35516,Pot,19.36053466796875,0.6509771169104941,1.0,0.07465277777777778,0.8701956689611082,0.30723469237344925,1.0,0.012152777777777778,0.9675457724164893,1,0.15625
3,16552,reb,19.344772338867188,0.7286077394210491,1.0,0.06597222222222222,0.8349261462178503,0.35643065314585276,1.0,0.03819444444444445,0.9629965409029576,1,0.15625
4,1610,be,23.843339920043945,0.7546950803040853,1.0,0.0954861111111111,0.8222618929026988,0.42752323004156634,1.0,0.012152777777777778,0.9394200585597097,1,0.15625
5,326, t,27.012510299682617,0.6671734660791804,1.0,0.13541666666666666,0.8657504155952969,0.3567027118904591,1.0,0.1267361111111111,0.9666749366742552,1,0.15625
6,108,',12.084550857543945,0.8318636862704445,1.0,0.07118055555555555,0.7591877432234713,0.4464862350183725,1.0,0.08506944444444445,0.9433395696028491,1,0.15625
7,9903,aver,21.287694931030273,0.4930617744030885,1.0,0.2586805555555556,0.9257079965943357,0.29510344366072006,1.0,0.029513888888888888,0.9697647231042735,1,0.15625
8,228, per,26.71647834777832,0.4923860662218227,1.0,0.2534722222222222,0.927752300003698,0.3776591178055584,1.0,0.07118055555555555,0.9565909318531077,1,0.15625
9,524, am,21.36519432067871,0.7837152524402216,1.0,0.10243055555555555,0.8024475289951465,0.5122099473399075,1.0,0.10243055555555555,0.9162411088317356,1,0.15625
10,260,an,19.095155715942383,0.7206425289791665,1.0,0.04513888888888889,0.8404540176570748,0.24700095070197348,1.0,0.059027777777777776,0.9840452889682219,1,0.15625
11,19393,ça,18.550167083740234,0.6196693485201761,1.0,0.0642361111111111,0.8894723623169211,0.42544202327516367,1.0,0.057291666666666664,0.9510126467665037,1,0.15625
12,364, e,9.660223960876465,0.7085227172735966,1.0,0.08680555555555555,0.8447525312992638,0.48508216680818705,1.0,0.043402777777777776,0.9304224228274055,1,0.15625
13,15511, tut,22.312875747680664,0.505468505583337,1.0,0.05381944444444445,0.9262185848146703,0.45190406824494445,1.0,0.012152777777777778,0.940057656162505,1,0.15625
14,2,</s>,0.0008586533949710429,0.8299568662510994,1.0,0.10243055555555555,0.7566936930640491,0.5392488289168678,1.0,0.041666666666666664,0.9135370018082322,1,0.15625
0,0,<s>,2.9802276912960224e-06,0.6458089084075804,1.0,0.18229166666666666,0.8723142424759851,0.46923520614203285,1.0,0.052083333333333336,0.9408440940575635,2,0.0967741935483871
1,0,<s>,32.4133186340332,0.6052470769413079,1.0,0.14756944444444445,0.890439749196324,0.388506484918967,1.0,0.052083333333333336,0.9604847859507059,2,0.0967741935483871
2,4349,ta,28.77079200744629,0.6952238458368847,1.0,0.140625,0.8568064944039505,0.4248410602517352,1.0,0.012152777777777778,0.9450432057908569,2,0.0967741935483871
3,1051, sent,34.740638732910156,0.8112634460409038,1.0,0.0954861111111111,0.7786651909250989,0.4353459712848826,1.0,0.034722222222222224,0.9407396657879917,2,0.0967741935483871
4,853,ir,27.67321014404297,0.7106087002846699,1.0,0.052083333333333336,0.8467986351960326,0.4177820052566297,1.0,0.027777777777777776,0.9466278597694243,2,0.0967741935483871
5,263, de,13.155474662780762,0.7159264301780763,1.0,0.0625,0.8440403635097196,0.43893072331742333,1.0,0.017361111111111112,0.9369720708697683,2,0.0967741935483871
6,17601,lect,36.74357986450195,0.5638979774768984,1.0,0.24131944444444445,0.9058648248882808,0.4898254908499007,1.0,0.05381944444444445,0.9211869727168378,2,0.0967741935483871
7,260,an,25.379650115966797,0.5957182682764373,1.0,0.1840277777777778,0.895257028272485,0.2459545182940195,1.0,0.029513888888888888,0.9826089501397576,2,0.0967741935483871
8,19393,ça,22.99473762512207,0.7417859299934435,1.0,0.08333333333333333,0.8323191154736759,0.28427821285991817,1.0,0.012152777777777778,0.9713694825255459,2,0.0967741935483871
9,32192, chi,18.960308074951172,0.787086902986883,1.0,0.0920138888888889,0.7996206887467727,0.4452406903333892,1.0,0.012152777777777778,0.9284989771351984,2,0.0967741935483871
10,21576, ben,21.910411834716797,0.7223965276521833,1.0,0.0625,0.8363879169309302,0.31007711793510917,1.0,0.010416666666666666,0.9639137391959068,2,0.0967741935483871
11,12369, ti,23.796018600463867,0.4912634671149998,1.0,0.22395833333333334,0.9276351933019727,0.42891935953813887,1.0,0.03125,0.9459232690310488,2,0.0967741935483871
12,2,</s>,0.002218168694525957,0.7983756031119551,1.0,0.04861111111111111,0.7889750818954423,0.5712383887042078,1.0,0.03125,0.9012588030011386,2,0.0967741935483871
0,0,<s>,1.0371154530730564e-05,0.6497435759500685,1.0,0.16666666666666666,0.8718256352060703,0.4743049900700609,1.0,0.07291666666666667,0.9415959475903574,3,0.03125
1,0,<s>,34.14180374145508,0.4917072265425835,1.0,0.1597222222222222,0.9327681578367245,0.5875950701481367,1.0,0.06944444444444445,0.891309834735472,3,0.03125
2,3427,port,26.518747329711914,0.6440223108127747,1.0,0.13541666666666666,0.877368885808558,0.4882755926745146,1.0,0.022569444444444444,0.9309410382207605,3,0.03125
3,10627,asse,27.217023849487305,0.8519335864094537,1.0,0.07465277777777778,0.7407070153419092,0.45589354026873585,1.0,0.024305555555555556,0.9300910581243172,3,0.03125
4,784, l,16.203561782836914,0.8134925079437705,1.0,0.09722222222222222,0.7775617172058947,0.4849945670718656,1.0,0.036458333333333336,0.9289858589380153,3,0.03125
5,811,ian,28.85061264038086,0.7799722480532341,1.0,0.03125,0.8020669509696163,0.21607093496678598,1.0,0.003472222222222222,0.9857378971708654,3,0.03125
6,19393,ça,28.72021484375,0.5481081608330447,1.0,0.1527777777777778,0.9148079208562325,0.4049331978020907,1.0,0.012152777777777778,0.950865381900721,3,0.03125
7,295, n,24.233097076416016,0.6931090337360848,1.0,0.06597222222222222,0.8545136487121948,0.3875805192367425,1.0,0.10416666666666667,0.9603096885504323,3,0.03125
8,523,el,20.79521369934082,0.8098299770467929,1.0,0.03993055555555555,0.780589011718849,0.38193608312227423,1.0,0.08506944444444445,0.9560337560211322,3,0.03125
9,3729, cu,30.54924201965332,0.8467735819966296,1.0,0.08854166666666667,0.7468297978283354,0.3767688890433638,1.0,0.012152777777777778,0.9557783868906562,3,0.03125
10,368,or,31.67359161376953,0.8647861009390923,1.0,0.03298611111111111,0.7294572699454194,0.29160570887208803,1.0,0.024305555555555556,0.9748327200517773,3,0.03125
11,579, s,31.178569793701172,0.7118537216807874,1.0,0.0920138888888889,0.8440997795941312,0.2826530045201805,1.0,0.16493055555555555,0.9789704651726354,3,0.03125
12,3849,�,20.04227066040039,0.6100046620196431,1.0,0.109375,0.8922624426140806,0.29436333324109665,1.0,0.052083333333333336,0.9732410141642015,3,0.03125
13,11582,�,23.248947143554688,0.4307526373926813,1.0,0.2309027777777778,0.9476862462831595,0.522345062637747,1.0,0.012152777777777778,0.9081047812624732,3,0.03125
14,283, come,14.729159355163574,0.6651396984226141,1.0,0.07118055555555555,0.869265342114154,0.4117803758573193,1.0,0.041666666666666664,0.9510866167907838,3,0.03125
15,2,</s>,0.00024423000286333263,0.8616885642809955,1.0,0.10590277777777778,0.7226512775085688,0.42492689878090273,1.0,0.008680555555555556,0.9459321214274636,3,0.03125
0,0,<s>,3.933898824470816e-06,0.9251330678857019,0.92323816,0.013888888888888888,0.6296663807497225,0.48748433135495195,1.0,0.03125,0.9349702289550736,4,0.2857142857142857
1,0,<s>,31.67774772644043,0.46257586527990036,1.0,0.2725694444444444,0.9382968544993437,0.5185391125989178,1.0,0.020833333333333332,0.9177244103733838,4,0.2857142857142857
2,417,d,15.889745712280273,0.6985140620326316,1.0,0.0920138888888889,0.8508327022504049,0.5529415462280951,1.0,0.010416666666666666,0.909391754656514,4,0.2857142857142857
