position,token_id,token_char,token_loss,gradcam_gini,gradcam_peak,gradcam_coverage,gradcam_entropy,attention_gini,attention_peak,attention_coverage,attention_entropy,sample_id,image_cer
0,0,<s>,0.08457323908805847,0.9615045119240504,1.0,0.024305555555555556,0.5298070730325819,0.5843892479993822,1.0,0.03298611111111111,0.8773791635908362,0,0.21212121212121213
1,0,<s>,8.164491653442383,0.8420173066021017,1.0,0.012152777777777778,0.741491352668327,0.5888314294074117,1.0,0.04861111111111111,0.8880393243820351,0,0.21212121212121213
2,705,v,11.326380729675293,0.5311380474409502,1.0,0.125,0.9167884570032845,0.5423056958129913,1.0,0.043402777777777776,0.9062064673736473,0,0.21212121212121213
3,12145,iden,15.881820678710938,0.7472201945414627,1.0,0.1284722222222222,0.8254699113390714,0.4972066134971793,1.0,0.03993055555555555,0.9181685306002985,0,0.21212121212121213
4,7321, ke,12.558100700378418,0.6950533859699743,1.0,0.08506944444444445,0.8539090600451837,0.5975623002648793,1.0,0.05381944444444445,0.8866073367314696,0,0.21212121212121213
5,295, n,10.954050064086914,0.5761617040304303,1.0,0.18055555555555555,0.9005134012148844,0.5729605585592776,1.0,0.052083333333333336,0.8881921407506543,0,0.21212121212121213
6,108,',13.91672134399414,0.6572445756689911,1.0,0.059027777777777776,0.8678836180703507,0.5341117815164591,1.0,0.07118055555555555,0.907263803603062,0,0.21212121212121213
7,5269,à,13.010455131530762,0.6587598590712149,1.0,0.08333333333333333,0.8710520257837824,0.617059263685297,1.0,0.06076388888888889,0.8701602593754488,0,0.21212121212121213
8,128, ',7.824807643890381,0.7966315196861844,1.0,0.07291666666666667,0.790271282787441,0.6644043524591701,1.0,0.06076388888888889,0.8444462983995566,0,0.21212121212121213
9,462,l,13.348173141479492,0.7034583999638688,1.0,0.1388888888888889,0.844648103029692,0.6189820839951088,1.0,0.04513888888888889,0.8715532364655421,0,0.21212121212121213
10,475, m,11.354452133178711,0.786275899227507,1.0,0.029513888888888888,0.796881322178227,0.653886192145307,1.0,0.05555555555555555,0.8501823511951475,0,0.21212121212121213
11,11168,ondo,11.366678237915039,0.8364744889784064,1.0,0.08854166666666667,0.7549874311652404,0.4411689925660678,1.0,0.052083333333333336,0.9385775804941267,0,0.21212121212121213
12,1177, en,10.074935913085938,0.6973067755401263,1.0,0.07291666666666667,0.8518838117942058,0.4371897817118544,1.0,0.036458333333333336,0.9369658441841544,0,0.21212121212121213
